# wavelen objCounts skyAndBiasCounts pixnum
6.621287238014549985e+03 nan 0.000000000000000000e+00 0.000000000000000000e+00
6.621848253212309828e+03 nan 0.000000000000000000e+00 1.000000000000000000e+00
6.622409250014599820e+03 nan 0.000000000000000000e+00 2.000000000000000000e+00
6.622970228385590417e+03 nan 0.000000000000000000e+00 3.000000000000000000e+00
6.623531188289460260e+03 nan 0.000000000000000000e+00 4.000000000000000000e+00
6.624092129690369802e+03 nan 0.000000000000000000e+00 5.000000000000000000e+00
6.624653052552480403e+03 nan 0.000000000000000000e+00 6.000000000000000000e+00
6.625213956839969796e+03 nan 0.000000000000000000e+00 7.000000000000000000e+00
6.625774842517010256e+03 nan 0.000000000000000000e+00 8.000000000000000000e+00
6.626335709547750412e+03 nan 0.000000000000000000e+00 9.000000000000000000e+00
6.626896557896379818e+03 nan 0.000000000000000000e+00 1.000000000000000000e+01
6.627457387527049832e+03 nan 0.000000000000000000e+00 1.100000000000000000e+01
6.628018198403930000e+03 nan 0.000000000000000000e+00 1.200000000000000000e+01
6.628578990491199875e+03 nan 0.000000000000000000e+00 1.300000000000000000e+01
6.629139763753019906e+03 nan 0.000000000000000000e+00 1.400000000000000000e+01
6.629700518153559642e+03 nan 0.000000000000000000e+00 1.500000000000000000e+01
6.630261253656990448e+03 nan 0.000000000000000000e+00 1.600000000000000000e+01
6.630821970227470047e+03 nan 0.000000000000000000e+00 1.700000000000000000e+01
6.631382667829169804e+03 nan 0.000000000000000000e+00 1.800000000000000000e+01
6.631943346426260177e+03 nan 0.000000000000000000e+00 1.900000000000000000e+01
6.632504005982909803e+03 nan 0.000000000000000000e+00 2.000000000000000000e+01
6.633064646463280042e+03 nan 0.000000000000000000e+00 2.100000000000000000e+01
6.633625267831550445e+03 nan 0.000000000000000000e+00 2.200000000000000000e+01
6.634185870051879647e+03 nan 0.000000000000000000e+00 2.300000000000000000e+01
6.634746453088449925e+03 nan 0.000000000000000000e+00 2.400000000000000000e+01
6.635307016905399905e+03 nan 0.000000000000000000e+00 2.500000000000000000e+01
6.635867561466930056e+03 nan 0.000000000000000000e+00 2.600000000000000000e+01
6.636428086737189915e+03 nan 0.000000000000000000e+00 2.700000000000000000e+01
6.636988592680339934e+03 nan 0.000000000000000000e+00 2.800000000000000000e+01
6.637549079260569670e+03 nan 0.000000000000000000e+00 2.900000000000000000e+01
